tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
M796263,58065632,01,14,CHEV,MD,PULASKI EB @ NORTH POINT,30,Red Light Violation,$75.00,07/04/2012 10:35:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
46513M2,58065624,12,13,MERC,MD,SINCLAIR EB @ SHANNON,30,Red Light Violation,$75.00,07/04/2012 10:33:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
7AR9410,58065616,04,14,DODG,MD,NORTHERN PKWY WB @ FALLS RD,30,Red Light Violation,$75.00,07/04/2012 10:24:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
K810246,58065608,02,2,FORD,IL,FORT SMALLWOOD SB @ FORT ARMIS,30,Red Light Violation,$75.00,07/04/2012 10:21:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
JCARTR,58065590,02,2,LINC,VA,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 10:12:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
6AN3857,58065475,12,13,HYUN,MD,W. MT. ROYAL AVE NB @ NORTH AV,30,Red Light Violation,$75.00,07/04/2012 10:09:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
A216763,58065582,08,13,CHEV,MD,LIBERTY WB @ HILLSDALE,30,Red Light Violation,$75.00,07/04/2012 10:07:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
6EPX64,79596474,02,12,HYUN,MD,2600 FAIT,99,All Other Stopping or Parking Violations,$32.00,07/04/2012 10:04:00 PM,$32.00,,$32.00,$0.00,,07/28/2012 11:03:00 AM +0000
095M600,58065574,07,13,TOYT,MD,PULASKI EB @ MORAVIA,30,Red Light Violation,$75.00,07/04/2012 10:03:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
085M923,58065566,05,14,CHEV,MD,NORTH AVE WB @ HOWARD ST,30,Red Light Violation,$75.00,07/04/2012 10:03:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
42952B,97092571,10,13,DODG,MD,300 KEY HW,3,Obstruct/Impeding Flow of Traffic,$102.00,07/04/2012 09:59:00 PM,$102.00,,$102.00,$0.00,,07/12/2012 11:02:00 AM +0000
6AM1555,58065699,11,13,LINC,MD,REISTERSTOWN SB @ PATTERSON,30,Red Light Violation,$75.00,07/04/2012 09:57:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
27306Z,79722088,06,13,FORD,MD,S 300 N PULASKI ST,3,Obstruct/Impeding Flow of Traffic,$102.00,07/04/2012 09:56:00 PM,$102.00,,$102.00,$0.00,,09/20/2012 11:03:00 AM +0000
6FBZ95,58065558,06,13,TOYT,MD,FAYETTE WB @ LIBERTY,30,Red Light Violation,$75.00,07/04/2012 09:56:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
3AS6055,58065541,05,14,CADI,MD,NORTH AVE WB @ HOWARD ST,30,Red Light Violation,$75.00,07/04/2012 09:54:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
5AL1495,58065681,10,13,TOYT,MD,COLD SPRING EB @ ROLAND,30,Red Light Violation,$75.00,07/04/2012 09:53:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
14615M9,97550719,10,13,DODG,MD,600 S CHARLES ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:51:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
WYF8155,58065673,02,2,FORD,VA,NORTHERN PKWY WB @ YORK RD,30,Red Light Violation,$75.00,07/04/2012 09:51:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
4EML86,97550701,09,12,HYUN,MD,600 S CHARLES ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:49:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
28N814,97092563,03,14,FORD,MD,500 E FORT AV,16,In Transit Zone/Stop,$77.00,07/04/2012 09:47:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
8AM7185,97550693,01,14,VOLK,MD,600 S CHARLES ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:47:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
1AN7302,97092555,01,14,NISS,MD,500 E FORT AV,16,In Transit Zone/Stop,$77.00,07/04/2012 09:46:00 PM,$7.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
3FEL78,97324081,07,13,PONI,MD,100 E READ ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:46:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
00574M2,97092548,08,13,ACUR,MD,500 E FORT AV,16,In Transit Zone/Stop,$77.00,07/04/2012 09:45:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
9AF9037,97550685,03,13,FORD,MD,600 S CHARLES ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:45:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
N01 MOM,97550677,02,13,DODG,MD,600 S CHARLES ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:43:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
1AC6506,58065533,09,12,CHEV,MD,HILLEN WB @ FORREST,30,Red Light Violation,$75.00,07/04/2012 09:43:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
4CMC43,97457709,11,12,TOYT,MD,UB S CALVERT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:42:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
ERS7641,58065525,08,11,TOYT,NY,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 09:42:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
